#,Event,Team,Maps,KPR - DPR,#ERROR!,Rating3.0
2nd,CBE 2018 Europe Open Qualifier #3,aAa,4,0.94 - 0.65,36,1.46
1st,ESL National Championship France Summer 2018,aAa,5,1.09 - 0.58,66,1.70
5-8th,DreamHack Open Valencia 2018 Europe Closed Qualifier,Imperial,3,0.80 - 0.76,3,1.22
3-4th,ESL One Cologne 2018 Europe Open Qualifier,aAa,5,0.75 - 0.75,1,01.09
1st,DreamHack Open Summer 2018 Europe Closed Qualifier,Imperial,6,0.96 - 0.55,59,1.54
5-8th,StarSeries i-League Season 5 Europe Qualifier,Imperial,3,0.61 - 0.74,-10,1.00
5-8th,DreamHack Open Tours 2018 Europe Open Qualifier,aAa,2,0.94 - 0.57,20,1.51
1-4th,ECS Season 5 Europe Closed Qualifier,MANS NOT HOT,1,1.22 - 0.33,16,02.02
5-8th,ECS Season 5 Europe Qualifier #4,aAa,1,0.78 - 0.81,-1,1.12
26th,ESEA MDL Season 27 Europe,aAa,16,0.90 - 0.69,83,1.37
2nd,ESL National Championship France Winter 2017,aAa,6,0.85 - 0.73,18,1.29
5-6th,DaddySkins Western League,aAa,12,0.91 - 0.68,73,1.36
2nd,Nations Elite Esports Cup European Qualifier,aAa,4,1.07 - 0.73,35,1.62
9-16th,DreamHack Open Winter 2017 Europe Closed Qualifier,aAa,2,0.93 - 0.68,15,1.37
1-8th,DreamHack Open Winter 2017 Europe Open Qualifier,aAa,1,1.50 - 0.61,16,2.38
3rd,ESWC 2017,aAa,8,0.90 - 0.70,39,1.32
1st,ESWC 2017 Qualifier #2,aAa,3,0.80 - 0.64,14,1.23
5-8th,X-BET.co Invitational,aAa,7,0.92 - 0.71,46,1.38
5-8th,ESEA MDL Season 26 Europe,aAa,18,0.98 - 0.67,141,1.48
5-8th,DreamHack Open Denver 2017 Europe Closed Qualifier,benchwarmers,6,0.79 - 0.64,24,1.23
1-8th,DreamHack Open Denver 2017 Europe Open Qualifier,benchwarmers,1,1.10 - 0.60,15,1.79
1-2nd,iiyama CS:GO HomeMasters #3,GameplayDNA,2,0.89 - 0.63,12,1.44
3-4th,CBE 2017 Europe Closed Qualifier,WySix,5,1.09 - 0.60,57,1.63
2nd,CBE 2017 Europe Open Qualifier #3,WySix,3,1.03 - 0.65,27,1.60
3-4th,ROG MASTERS 2017 France Qualifier,WySix,3,0.99 - 0.72,23,1.42
9-16th,DreamHack Masters Malmö 2017 Europe Open Qualifier,Magicians,1,0.75 - 0.79,-1,1.10
2nd,ESL National Championship France Summer 2017,WySix,5,1.05 - 0.67,54,1.62
5-8th,DreamHack Open Valencia 2017 Europe Closed Qualifier,Magicians,3,0.58 - 0.80,-16,0.85
1-4th,DreamHack Open Valencia 2017 Europe Open Qualifier,Magicians,2,0.89 - 0.57,14,1.28
9th,ESEA MDL Season 25 Europe,WySix,16,1.00 - 0.65,146,1.54
9-16th,Europe Minor Qualifier 4 - PGL Major Krakow 2017,WySix,1,0.96 - 0.75,5,1.33
