#,Event,Team,Maps,KPR - DPR,plus_minus,Rating3.0
9th,GameAgents League Season 2,Worst Players (2),10,0.90 - 0.77,35,1.20 *
5-8th,xfunction Masters Season III,Evolution,2,0.75 - 0.77,-1,0.99 *
3-4th,ESWC 2015,FlipSid3,8,0.80 - 0.72,15,1.11 *
5-6th,Uprise Champions Cup Season 3,Nostalgie,10,0.79 - 0.73,14,1.06 *
2nd,Gaming Paradise Inhouse Qualifier,FlipSid3,9,0.72 - 0.68,10,1.03 *
3-4th,SLTV StarSeries XIII Finals,FlipSid3,7,0.92 - 0.68,41,1.35 *
5-6th,DreamHack Open Summer 2015,FlipSid3,3,1.05 - 0.70,29,1.42 *
20th,FACEIT League 2015 Stage 2,FlipSid3,8,0.81 - 0.74,13,1.14 *
1-2nd,DreamHack Open Summer 2015 Closed Qualifier,FlipSid3,6,0.91 - 0.68,33,1.32 *
1-2nd,FACEIT League 2015 Stage 2 EU Qualifier,FlipSid3,7,0.84 - 0.71,23,1.17 *
5-6th,Counter Pit League,FlipSid3,2,0.84 - 0.64,12,1.17 *
1-6th,SLTV StarSeries XIII,FlipSid3,12,0.80 - 0.70,32,1.12 *
5-6th,DreamHack Open Tours 2015,FlipSid3,3,1.01 - 0.71,24,1.46 *
13-16th,Fragbite Masters Season 4,FlipSid3,5,0.71 - 0.84,-14,0.92 *
1-2nd,DreamHack Open Tours 2015 Closed Qualifier,FlipSid3,7,0.92 - 0.70,37,1.30 *
1st,CIS LAN Championship,FlipSid3,8,0.90 - 0.64,52,1.27 *
3rd,CCS Kick-off Season Last Chance,FlipSid3,10,0.88 - 0.72,41,1.24 *
4th,Copenhagen Games 2015,FlipSid3,15,0.90 - 0.70,79,1.28 *
7-8th,Global Offensive Champions League Season 1,FlipSid3,19,0.91 - 0.66,122,1.28 *
7-8th,CCS Kick-off Season,FlipSid3,5,0.57 - 0.83,-29,0.72 *
7-8th,Game Show CS:GO League Season 2,FlipSid3,5,0.78 - 0.77,1,1.01 *
2nd,G2A.com December Cup Powered by FACEIT Europe,HellRaisers,11,0.87 - 0.69,50,1.21 *
5-8th,DreamHack Winter 2014,HellRaisers,4,0.78 - 0.69,8,1.12 *
5-8th,ESWC 2014,HellRaisers,7,0.75 - 0.68,11,1.08 *
5th,DreamHack Winter 2014 EU Closed Qualifier,HellRaisers,8,0.85 - 0.67,42,1.20 *
2nd,Game Show Season 1 Finals,HellRaisers,12,0.81 - 0.70,33,1.10 *
9-12th,Fragbite Masters Season 3,HellRaisers,9,0.74 - 0.67,17,1.09 *
2nd,Caseking of the Hill #9,HellRaisers,4,0.87 - 0.61,29,1.26 *
3-4th,Game Show CS:GO League,HellRaisers,4,0.90 - 0.69,26,1.30 *
9-10th,SLTV StarSeries XI,HellRaisers,8,1.01 - 0.67,72,1.46 *
9-16th,European Championship 2014,Ukraine,7,0.87 - 0.69,31,1.24 *
7th,FACEIT League EU Season 2,HellRaisers,11,0.86 - 0.72,46,1.22 *
1-12th,European Championship 2014 Qualification Round 2,Ukraine,2,0.95 - 0.46,19,1.50 *
1st,SLTV ProSeries X,A-Gaming,2,0.97 - 0.68,17,1.36 *
14th,SLTV StarSeries X,Nostalgie,1,0.45 - 0.91,-10,0.53 *
7th,CIS Rising League Season 1,USSR,3,0.86 - 0.67,16,1.28 *
1st,Voronezh Cup 2014,Hashtag,7,0.79 - 0.68,22,1.13 *
14th,SLTV StarSeries IX,Courage,14,0.81 - 0.74,27,1.11 *
17-20th,European Championship 2013,Ukraine,1,0.63 - 0.67,-1,0.94 *
-,Showmatch CS,Natus Vincere (3),5,0.87 - 0.68,23,1.32
